period,minute,second,duration,under_pressure,play_pattern.name,possession_team.name,player.name,position.name,shot.technique.name,shot.body_part.name,shot.outcome.name,shot.aerial_won,shot.one_on_one,shot.deflected,shot.open_goal,shot.saved_to_post,shot.saved_off_target,shot.redirect,location.x,location.y,shot.end_location.x,shot.end_location.y,shot.end_location.z,player.name.GK,location.x.GK,location.y.GK,DistToGoal,DistToKeeper,AngleToGoal,AngleToKeeper,AngleDeviation,avevelocity,DistSGK,density,density.incone,AttackersBehindBall,DefendersBehindBall,DefendersInCone,InCone.GK,DefArea,distance.ToD1.360,distance.ToD2.360,TimeInPoss,TimeToPossEnd
1,44,13,0.269555,NA,From Corner,Spain Women's,Laia Codina Panedas,Left Center Back,Half Volley,Right Foot,Goal,NA,NA,TRUE,NA,NA,NA,NA,114.6,39.4,120,41.4,0.8,Gaëlle Thalmann,118.5,39.8,5.433231082882456,1.513274595042156,83.6598082540901,82.40535663140847,1.2544516226816285,21.362883343121783,3.9204591567825373,1.757724460684717,0.22513159974163963,2,4,1,1,17.479999999999983,0.8062257748298522,1.2000000000000028,4.266999999999825,0
2,52,3,0.011183,NA,Regular Play,Spain Women's,Salma Paralluelo Ayingono,Left Wing,Normal,Left Foot,Saved,NA,NA,TRUE,NA,NA,NA,NA,96.6,53.7,117.8,38.5,0.8,Gaëlle Thalmann,118.1,39.8,27.115493725912504,1.9104973174542859,120.3476966236743,83.99099404250548,36.35670258116882,2332.6488041749617,25.60195305049988,1.3139249212819435,0.9705233527292653,3,6,2,1,96.64000000000004,1.2649110640673562,5.556977595779934,9.384999999999764,1.4320000000002437
2,55,40,0.348101,TRUE,Regular Play,Switzerland Women's,Meriame Terchoun,Right Wing,Volley,Right Foot,Saved,NA,NA,NA,NA,NA,NA,NA,110,43.1,116,42.7,1,Catalina Thomas Coll Lluch,116.2,41.5,10.469479452198184,4.085339643163096,107.22343619113147,111.54097591853845,4.317539727406981,17.274637393598876,6.403124237432851,0,0,0,0,0,1,16.32000000000005,1.077032961426903,2.9000000000000012,43.358000000000175,0
2,57,2,0.07137,NA,Regular Play,Spain Women's,Teresa Abelleira Dueñas,Center Defensive Midfield,Half Volley,Right Foot,Saved,NA,NA,TRUE,NA,NA,NA,NA,95.1,47.8,118.5,42.6,1.3,Gaëlle Thalmann,118.6,41.4,26.093102536877446,1.979898987322336,107.39332214691203,134.99999999999986,27.60667785308783,335.8668290452783,24.355902775302745,1.204402690886285,0,5,7,0,1,225,1.303840481040541,11.624973118248485,17.66300000000001,1.8229999999998654
2,59,43,1.150912,TRUE,From Throw In,Spain Women's,Alba María Redondo Ferrer,Right Wing,Normal,Left Foot,Off T,NA,NA,NA,NA,NA,NA,NA,101.8,52,120,38,4.9,Gaëlle Thalmann,116.9,41,21.800000000000004,3.257299494980461,123.39848846798726,107.87869659584139,15.519791872145873,19.950880044346935,18.681809334216005,0.9069729190762246,0,4,5,0,1,126.48000000000022,2.3345235059857474,3.4132096331751938,36.91300000000001,1.15099999999984
2,69,36,0.81171,TRUE,From Counter,Spain Women's,Jennifer Hermoso Fuentes,Center Attacking Midfield,Normal,Left Foot,Goal,NA,NA,NA,NA,NA,NA,NA,107.8,49.5,120,36.7,1.5,Gaëlle Thalmann,116.3,43,15.462535367784938,4.7634021455258235,127.90748267172694,129.03551289874684,1.1280302270199059,21.784578193654117,10.700467279516348,0.14517167628488525,0,0,1,0,1,535.0400000000005,1.4560219778560952,5.131276644266996,2.9279999999998836,0.8120000000008076
2,80,43,1.122847,NA,From Corner,Spain Women's,Eva Maria Navarro,Right Wing,Half Volley,Left Foot,Saved,NA,NA,NA,NA,NA,NA,NA,95.6,39.7,118.8,40.8,1.6,Gaëlle Thalmann,119.1,39.6,24.401844192601516,0.984885780179615,89.29557918861957,66.03751102542203,23.258068163197535,20.684975732768912,23.500212764994277,1.0218387377129983,0.6745415785548705,8,10,6,1,10.5,4.079215610874227,7.495331880577415,4.671999999999571,1.123000000000502
2,81,48,0.873395,TRUE,From Throw In,Spain Women's,Ona Batlle Pascual,Left Back,Normal,Right Foot,Off T,NA,NA,NA,NA,NA,NA,NA,103.1,20.2,120,37.6,5.4,Gaëlle Thalmann,117.9,37.6,26.03171143048417,3.18904374382039,40.48192861037927,41.18592516570959,0.7039965553303205,27.772473368376318,22.842942017174593,1.222660939424286,0.1184780900955036,4,7,1,1,55.890000000000285,1.649242250247073,3.7054014627297795,14.903000000000247,0.8729999999995925
2,91,53,1.675268,NA,Regular Play,Switzerland Women's,Fabienne Humm,Center Forward,Normal,Right Foot,Off T,NA,NA,NA,NA,NA,NA,NA,88.6,59.6,120,52.3,0,Catalina Thomas Coll Lluch,109.9,44.6,37.01513204082893,11.098198051936174,121.97256775948772,114.48668093171604,7.4858868277716795,19.24313043622259,26.051679408437387,0.37274003262417077,0,0,2,0,1,1.200000000000017,3.7802116342871668,6.573431371817919,17.69500000000062,1.6759999999994761
1,5,37,1.605453,NA,Regular Play,Japan Women's,Risa Shimizu,Right Wing Back,Half Volley,Right Foot,Off T,NA,NA,NA,NA,NA,NA,NA,108,62.7,120,32.7,2,Aurora Watten Mikalsen,117.5,42.1,25.67664308277077,3.264965543462903,152.13753101752374,130.03025927188972,22.107271745634023,20.125776863481533,22.685017081765668,0.059120904679734854,0,0,1,0,1,28.3,5.20096144957834,12.074767078498871,52.41500000000002,1.6059999999999945
