"","scoring_play","score_value","shot_x","shot_y","shot_distance","shot_type"
"545",FALSE,0,0,10,10,"Jump Shot"
"546",FALSE,0,3,4,5,"Driving Layup Shot"
"547",TRUE,2,3,4,5,"Layup Shot Putback"
"548",FALSE,0,-1,4,4.12310562561766,"Driving Layup Shot"
"549",FALSE,0,1,11,11.0453610171873,"Pullup Jump Shot"
"550",FALSE,0,3,2,3.60555127546399,"Layup Shot"
"551",FALSE,0,3,9,9.48683298050514,"Pullup Jump Shot"
"552",TRUE,2,4,3,5,"Layup Shot"
"553",TRUE,2,2,7,7.28010988928052,"Driving Floating Jump Shot"
"554",TRUE,3,8,24,25.298221281347,"Jump Shot"
"555",FALSE,0,-3,10,10.4403065089106,"Jump Shot"
"556",TRUE,2,-3,7,7.61577310586391,"Layup Shot"
"557",TRUE,2,2,2,2.82842712474619,"Driving Layup Shot"
"558",FALSE,0,1,4,4.12310562561766,"Layup Shot"
"559",FALSE,0,-3,13,13.3416640641263,"Pullup Jump Shot"
"560",FALSE,0,-3,7,7.61577310586391,"Fade Away Jump Shot"
"561",TRUE,2,-7,4,8.06225774829855,"Step Back Jump Shot"
"562",TRUE,2,-12,13,17.6918060129541,"Pullup Jump Shot"
"563",FALSE,0,-16,3,16.2788205960997,"Jump Shot"
"564",TRUE,2,-3,6,6.70820393249937,"Driving Finger Roll Layup"
"565",FALSE,0,-6,7,9.21954445729289,"Turnaround Jump Shot"
"566",FALSE,0,-2,3,3.60555127546399,"Layup Shot"
"567",TRUE,2,-2,4,4.47213595499958,"Running Layup Shot"
"568",TRUE,2,0,18,18,"Turnaround Jump Shot"
"569",FALSE,0,2,4,4.47213595499958,"Driving Layup Shot"
"570",FALSE,0,3,11,11.4017542509914,"Turnaround Jump Shot"
"571",TRUE,2,3,3,4.24264068711928,"Running Finger Roll Layup"
"572",FALSE,0,-3,5,5.8309518948453,"Driving Layup Shot"
"573",TRUE,2,-3,1,3.16227766016838,"Layup Shot"
"574",TRUE,2,-12,12,16.9705627484771,"Jump Shot"
"575",TRUE,2,-3,11,11.4017542509914,"Driving Floating Jump Shot"
"576",TRUE,2,-1,7,7.07106781186548,"Turnaround Bank Jump Shot"
"577",FALSE,0,2,9,9.21954445729289,"Jump Shot"
"578",TRUE,2,-6,18,18.9736659610103,"Step Back Jump Shot"
"579",TRUE,3,24,-1,24.0208242989286,"Jump Shot"
"580",FALSE,0,-23,4,23.3452350598575,"Jump Shot"
"581",TRUE,2,-4,1,4.12310562561766,"Layup Shot"
"582",TRUE,2,-4,2,4.47213595499958,"Cutting Layup Shot"
"583",FALSE,0,5,18,18.6815416922694,"Jump Shot"
"584",FALSE,0,3,1,3.16227766016838,"Driving Layup Shot"
"585",FALSE,0,-12,1,12.0415945787923,"Pullup Jump Shot"
"586",FALSE,0,-23,9,24.6981780704569,"Jump Shot"
"587",FALSE,0,-5,1,5.09901951359278,"Cutting Layup Shot"
"588",TRUE,2,-3,2,3.60555127546399,"Layup Shot Putback"
"589",FALSE,0,24,4,24.3310501211929,"Jump Shot"
"590",FALSE,0,9,11,14.2126704035519,"Jump Shot"
"591",FALSE,0,-4,7,8.06225774829855,"Pullup Jump Shot"
"592",FALSE,0,-1,0,1,"Running Layup Shot"
"593",FALSE,0,1,6,6.08276253029822,"Turnaround Fade Away Jump Shot"
"594",TRUE,2,-5,3,5.8309518948453,"Turnaround Jump Shot"
"595",FALSE,0,7,10,12.2065556157337,"Jump Shot"
"596",TRUE,2,-3,2,3.60555127546399,"Layup Shot"
"597",FALSE,0,-1,13,13.0384048104053,"Pullup Jump Shot"
"598",FALSE,0,-5,1,5.09901951359278,"Jump Shot Bank"
"599",FALSE,0,3,3,4.24264068711928,"Driving Layup Shot"
"600",FALSE,0,6,4,7.21110255092798,"Driving Layup Shot"
"601",TRUE,2,5,7,8.60232526704263,"Pullup Jump Shot"
"602",FALSE,0,8,6,10,"Pullup Jump Shot"
"603",TRUE,3,11,23,25.4950975679639,"Jump Shot"
"604",FALSE,0,12,1,12.0415945787923,"Turnaround Fade Away Jump Shot"
"605",FALSE,0,0,6,6,"Turnaround Jump Shot"
"606",TRUE,2,-5,1,5.09901951359278,"Driving Layup Shot"
"607",TRUE,2,-5,1,5.09901951359278,"Driving Layup Shot"
"608",TRUE,2,-1,3,3.16227766016838,"Cutting Layup Shot"
"609",TRUE,2,8,17,18.7882942280559,"Jump Shot"
"610",TRUE,2,-2,4,4.47213595499958,"Driving Finger Roll Layup"
"611",TRUE,2,-1,7,7.07106781186548,"Turnaround Jump Shot"
"612",TRUE,2,10,11,14.8660687473185,"Turnaround Jump Shot"
"613",TRUE,2,-1,1,1.4142135623731,"Running Layup Shot"
"614",TRUE,3,-23,8,24.3515913237718,"Jump Shot"
"615",TRUE,2,0,0,0,"Layup Shot Putback"
"616",TRUE,2,6,5,7.81024967590665,"Turnaround Jump Shot"
"617",TRUE,2,-5,11,12.0830459735946,"Pullup Jump Shot"
"618",FALSE,0,-2,4,4.47213595499958,"Driving Layup Shot"
"619",FALSE,0,11,11,15.556349186104,"Jump Shot"
"620",TRUE,2,-2,4,4.47213595499958,"Running Layup Shot"
"621",FALSE,0,-5,16,16.7630546142402,"Jump Shot"
"622",FALSE,0,-3,7,7.61577310586391,"Driving Layup Shot"
"623",TRUE,2,-10,15,18.0277563773199,"Pullup Jump Shot"
"624",FALSE,0,-4,9,9.8488578017961,"Turnaround Jump Shot"
