scoring_play,score_value,shot_x,shot_y,shot_distance,shot_type
FALSE,0,2,2,2.8284271247461903,Driving Finger Roll Layup
TRUE,2,2,2,2.8284271247461903,Driving Layup Shot
FALSE,0,-2,36,36.05551275463989,Pullup Jump Shot
TRUE,2,1,2,2.23606797749979,Driving Layup Shot
FALSE,0,10,26,27.85677655436824,Running Jump Shot
TRUE,2,1,4,4.123105625617661,Driving Layup Shot
TRUE,2,2,2,2.8284271247461903,Driving Layup Shot
TRUE,2,2,2,2.8284271247461903,Driving Finger Roll Layup
TRUE,3,20,17,26.248809496813376,Pullup Jump Shot
FALSE,0,17,20,26.248809496813376,Jump Shot
FALSE,0,1,4,4.123105625617661,Driving Layup Shot
FALSE,0,3,3,4.242640687119285,Layup Shot
FALSE,0,3,3,4.242640687119285,Layup Shot
FALSE,0,16,23,28.0178514522438,Jump Shot
TRUE,2,2,2,2.8284271247461903,Driving Finger Roll Layup
FALSE,0,0,29,29,Step Back Jump Shot
FALSE,0,1,0,1,Driving Layup Shot
TRUE,3,22,8,23.40939982143925,Step Back Jump Shot
FALSE,0,-1,3,3.1622776601683795,Running Finger Roll Layup
FALSE,0,-6,27,27.65863337187866,Running Pullup Jump Shot
TRUE,3,12,28,30.463092423455635,Step Back Jump Shot
FALSE,0,-16,21,26.40075756488817,Jump Shot
FALSE,0,-9,24,25.632011235952593,Jump Shot
FALSE,0,16,27,31.38470965295043,Pullup Jump Shot
FALSE,0,-5,2,5.385164807134504,Jump Shot
TRUE,3,20,17,26.248809496813376,Step Back Jump Shot
FALSE,0,0,0,0,Driving Layup Shot
TRUE,2,0,0,0,Running Finger Roll Layup
FALSE,0,0,1,1,Running Layup Shot
TRUE,3,-19,26,32.202484376209235,Running Pullup Jump Shot
FALSE,0,-3,1,3.1622776601683795,Driving Layup Shot
TRUE,3,-21,23,31.144823004794873,Jump Shot
TRUE,2,0,3,3,Running Layup Shot
TRUE,3,-21,19,28.319604517012593,Pullup Jump Shot
FALSE,0,-9,29,30.364452901377952,Running Pullup Jump Shot
TRUE,2,1,1,1.4142135623730951,Driving Finger Roll Layup
TRUE,3,16,21,26.40075756488817,Step Back Jump Shot
TRUE,3,0,28,28,Step Back Jump Shot
FALSE,0,1,0,1,Driving Floating Bank Jump Shot
TRUE,2,2,5,5.385164807134504,Turnaround Fade Away Jump Shot
FALSE,0,7,25,25.96150997149434,Running Pullup Jump Shot
FALSE,0,-20,20,28.284271247461902,Jump Shot
FALSE,0,16,23,28.0178514522438,Pullup Jump Shot
FALSE,0,17,27,31.906112267087632,Pullup Jump Shot
FALSE,0,-17,17,24.041630560342615,Step Back Jump Shot
TRUE,2,12,4,12.649110640673518,Pullup Bank Jump Shot
FALSE,0,0,25,25,Pullup Jump Shot
FALSE,0,-16,20,25.612496949731394,Step Back Jump Shot
TRUE,2,9,6,10.816653826391969,Driving Floating Bank Jump Shot
FALSE,0,-19,19,26.870057685088806,Pullup Jump Shot
FALSE,0,-4,29,29.274562336608895,Pullup Jump Shot
FALSE,0,-9,27,28.460498941515414,Pullup Jump Shot
FALSE,0,-5,4,6.4031242374328485,Driving Layup Shot
FALSE,0,-11,25,27.313000567495326,Pullup Jump Shot
FALSE,0,23,11,25.495097567963924,Step Back Jump Shot
TRUE,2,5,2,5.385164807134504,Running Layup Shot
FALSE,0,5,3,5.830951894845301,Running Layup Shot
TRUE,2,-5,2,5.385164807134504,Cutting Layup Shot
FALSE,0,12,27,29.546573405388315,Jump Shot
TRUE,3,-19,21,28.319604517012593,Jump Shot
FALSE,0,-10,27,28.792360097775937,Jump Shot
TRUE,2,4,3,5,Driving Layup Shot
FALSE,0,1,6,6.082762530298219,Driving Floating Bank Jump Shot
FALSE,0,23,10,25.079872407968907,Jump Shot
TRUE,3,6,29,29.614185789921695,Running Pullup Jump Shot
FALSE,0,16,23,28.0178514522438,Step Back Jump Shot
TRUE,2,2,1,2.23606797749979,Driving Layup Shot
FALSE,0,20,13,23.853720883753127,Step Back Jump Shot
FALSE,0,15,25,29.154759474226502,Step Back Jump Shot
FALSE,0,22,17,27.80287754891569,Step Back Jump Shot
TRUE,2,3,2,3.605551275463989,Driving Layup Shot
TRUE,3,-1,31,31.016124838541646,Running Pullup Jump Shot
FALSE,0,11,29,31.016124838541646,Pullup Jump Shot
FALSE,0,10,24,26,Running Pullup Jump Shot
FALSE,0,8,3,8.54400374531753,Driving Floating Bank Jump Shot
FALSE,0,-4,29,29.274562336608895,Jump Shot
FALSE,0,-1,2,2.23606797749979,Running Layup Shot
TRUE,3,3,31,31.144823004794873,Jump Shot
TRUE,2,1,11,11.045361017187261,Driving Floating Jump Shot
TRUE,3,13,24,27.294688127912362,Fade Away Jump Shot
FALSE,0,-20,23,30.479501308256342,Pullup Jump Shot
FALSE,0,16,18,24.08318915758459,Step Back Jump Shot
TRUE,3,-20,12,23.323807579381203,Jump Shot
FALSE,0,9,29,30.364452901377952,Jump Shot
FALSE,0,-2,4,4.47213595499958,Driving Layup Shot
FALSE,0,-11,26,28.231188426986208,Jump Shot
TRUE,3,-2,24,24.08318915758459,Step Back Jump Shot
TRUE,3,-15,27,30.886890422961002,Jump Shot
FALSE,0,0,2,2,Driving Layup Shot
FALSE,0,-1,26,26.019223662515376,Jump Shot
FALSE,0,2,2,2.8284271247461903,Driving Finger Roll Layup
FALSE,0,0,24,24,Pullup Jump Shot
TRUE,3,0,25,25,Jump Shot
FALSE,0,-6,24,24.73863375370596,Pullup Jump Shot
TRUE,3,17,28,32.7566787083184,Jump Shot
TRUE,3,-12,25,27.730849247724095,Jump Shot
FALSE,0,-8,23,24.351591323771842,Pullup Jump Shot
FALSE,0,1,2,2.23606797749979,Running Layup Shot
TRUE,3,-2,25,25.079872407968907,Jump Shot
FALSE,0,0,28,28,Jump Shot
TRUE,3,-17,21,27.018512172212592,Jump Shot
TRUE,3,23,2,23.08679276123039,Jump Shot
FALSE,0,-6,25,25.709920264364882,Jump Shot
FALSE,0,21,9,22.847319317591726,Step Back Jump Shot
TRUE,2,2,1,2.23606797749979,Driving Layup Shot
TRUE,3,-14,20,24.413111231467404,Step Back Jump Shot
FALSE,0,10,24,26,Running Pullup Jump Shot
TRUE,2,1,1,1.4142135623730951,Running Layup Shot
FALSE,0,-2,3,3.605551275463989,Driving Layup Shot
FALSE,0,0,15,15,Pullup Jump Shot
TRUE,2,3,4,5,Driving Finger Roll Layup
FALSE,0,-16,21,26.40075756488817,Pullup Jump Shot
TRUE,2,10,3,10.44030650891055,Driving Floating Bank Jump Shot
FALSE,0,4,1,4.123105625617661,Driving Finger Roll Layup
FALSE,0,8,28,29.120439557122072,Running Pullup Jump Shot
TRUE,3,-12,26,28.635642126552707,Jump Shot
TRUE,2,1,2,2.23606797749979,Running Layup Shot
FALSE,0,13,28,30.870698080866262,Running Pullup Jump Shot
TRUE,2,-11,16,19.4164878389476,Step Back Jump Shot
FALSE,0,-7,25,25.96150997149434,Jump Shot
TRUE,3,12,24,26.832815729997478,Jump Shot
FALSE,0,2,1,2.23606797749979,Running Layup Shot
TRUE,2,12,7,13.892443989449804,Pullup Bank Jump Shot
TRUE,3,2,27,27.073972741361768,Pullup Jump Shot
FALSE,0,2,5,5.385164807134504,Driving Layup Shot
TRUE,2,1,4,4.123105625617661,Driving Finger Roll Layup
FALSE,0,19,18,26.1725046566048,Step Back Jump Shot
FALSE,0,-19,14,23.600847442411894,Pullup Jump Shot
TRUE,2,-3,1,3.1622776601683795,Layup Driving Reverse
FALSE,0,-13,25,28.178005607210743,Jump Shot
FALSE,0,-9,26,27.51363298439521,Jump Shot
TRUE,3,8,23,24.351591323771842,Running Pullup Jump Shot
TRUE,2,2,3,3.605551275463989,Driving Layup Shot
FALSE,0,-20,15,25,Pullup Jump Shot
TRUE,3,-22,21,30.4138126514911,Pullup Jump Shot
FALSE,0,20,16,25.612496949731394,Jump Shot
FALSE,0,0,3,3,Floating Jump Shot
FALSE,0,-15,29,32.64965543462902,Pullup Jump Shot
FALSE,0,0,2,2,Layup Shot Putback
TRUE,3,14,24,27.784887978899608,Jump Shot
FALSE,0,0,3,3,Driving Layup Shot
TRUE,2,-1,1,1.4142135623730951,Running Finger Roll Layup
TRUE,2,0,1,1,Layup Driving Reverse
