is_hr,launch_angle,launch_speed,bat_speed,swing_length,attack_angle,swing_path_tilt,plate_x,plate_z,inning,balls,strikes,is_stand_left,is_throw_left
0,-6,83,73.5,8.9,9.327724718994142,28.35966466015925,0.86,1.91,9,0,1,0,1
1,31,102.2,73.3,7.2,7.182514463117103,35.62953359437231,0.15,2.58,9,1,0,1,1
0,32,76.3,61.3,7.9,41.76472853054014,39.37227212635787,0.41,1.23,9,0,1,0,1
0,-8,100.2,74.5,7.9,14.074265932424863,32.89547823081745,0.17,1.95,9,3,1,1,1
0,20,84.1,61.4,5.7,-4.48661654883944,19.47485113246974,-0.71,3.27,9,0,2,0,1
0,3,95.4,69.2,6.4,1.3552816818570168,30.772575044436728,0,2.72,9,1,0,0,1
0,11,103.7,80.5,7.4,17.79892450116511,31.00585254935778,0.63,2.78,9,1,0,1,1
0,-9,90,71.7,7.4,17.80188575782356,22.45033268174561,-0.56,2.45,9,0,0,1,0
0,53,84.1,75.6,6.6,11.991879758933228,19.52262505704671,0.24,3.53,9,1,1,0,0
0,14,97.8,72.4,7.1,2.3609188971875428,43.47844954568027,0.08,1.81,9,0,2,1,0
0,64,73.5,72.4,7.7,8.615289918015872,27.172107699102853,-0.2,2.19,8,1,1,0,0
0,18,92,72.8,7.2,3.4878188122072165,33.332398827145724,0.36,2.48,8,2,1,1,0
0,30,103,75,8.2,10.175885563326526,34.378929982828375,-0.01,2.4,8,1,0,0,0
0,31,97.8,74.8,7.1,15.134798826750789,25.80437365752676,0.15,2.87,8,0,0,1,0
0,10,87.6,69,6.9,19.70062865768911,32.82421622368861,-0.55,2.47,8,3,2,0,0
0,34,91,68.6,6.8,-4.893269516429965,34.71350640841599,-0.33,2.53,7,0,2,1,1
0,8,90.2,69,5.9,-6.185998069218825,35.788415836674886,-0.63,2.8,7,1,2,0,1
0,10,102.8,73.6,7.3,-1.4413120097969958,39.46800115837679,-0.06,1.8,7,2,1,1,1
0,31,96.9,73,7.1,6.125206844293405,29.54360570503737,-0.68,2.75,6,1,1,0,0
0,13,108.1,79.8,7.7,15.052583281104454,36.99119197084378,0.42,1.92,6,1,0,1,0
0,24,82.5,66.2,7.2,12.814654712177456,16.596449497669017,0.15,3.62,6,1,0,0,0
0,15,104.1,72.8,7.8,13.397904067364223,38.01215137919239,-0.13,1.91,6,1,2,1,0
0,52,89.7,68.9,6.2,12.383761194890097,27.498482598701013,-0.79,3,6,1,1,0,0
1,18,110.3,76.4,7.9,15.492000044888533,21.35792702363353,-0.58,2.53,6,1,0,0,0
0,11,102.3,66,6,6.338959928601311,19.74346864049077,-0.06,3.62,6,0,0,1,0
0,-6,105.1,80.8,7.6,-2.2045939342393432,32.535307532826714,-0.28,2.16,6,0,1,0,0
0,1,74.3,70,5.9,-0.1533075202923542,27.554032492309943,-0.72,2.76,6,0,1,0,0
0,59,97.3,75,7.9,18.27158686683423,28.53446237359151,-0.04,2.48,6,1,1,1,0
0,13,105.2,78.1,7,-0.4912412708111672,32.89155887766293,-0.35,2.25,6,0,1,0,0
0,-55,42.8,14.5,7,8.20975649316341,31.521036683442112,0.63,1.59,6,2,2,0,0
0,52,88.5,72.1,8.7,14.270994169406135,32.69679490092076,0.71,2.22,5,0,0,0,0
0,-21,91,76,7.2,10.932476713551296,38.83986792283682,0.15,2.18,5,2,1,1,0
0,52,84.7,68.1,7.8,16.416397872222166,30.376204917386723,0.15,2.57,5,3,2,0,0
0,27,89.8,70.7,7,10.462542815118862,24.423854161417516,0.66,2.51,5,1,1,0,0
0,38,94,74.5,6.8,6.89680098961679,22.892685860847536,-0.64,3.14,5,0,1,0,0
0,5,108.1,73.2,6.9,11.251900402697514,33.78586299772139,0.1,2.24,5,2,2,1,0
