"","possession_team_name","player_name","position_name","player_name_gk","period","minute","second","duration","under_pressure","play_pattern_name","shot_technique_name","shot_body_part_name","shot_outcome_name","location_x","location_y","location_x_gk","location_y_gk","dist_to_goal","dist_to_keeper","angle_to_goal","angle_to_keeper","angle_deviation","avevelocity","dist_sgk","density_incone","attackers_behind_ball","defenders_behind_ball","defenders_in_cone","in_cone_gk","time_in_poss","time_to_poss_end","goal","xg_glm"
"24","Denmark","Andreas Evald Cornelius","Center Forward","Aymen Dahmen",2,96,18,1.72341,TRUE,"From Corner","Normal","Head","Saved",108.8,46.4,118.6,40.9,12.8996123972777,1.66433169770933,119.744881296942,122.735226272107,2.99034497516524,5.99536563120302,11.2378823627942,1.34275133595696,3,8,2,1,2.30699999999979,1.72299999999996,"0",0.030537802894557
"25","Spain","Sergio Busquets i Burgos","Center Defensive Midfield","Shūichi Gonda",1,6,3,0.908278,FALSE,"Regular Play","Normal","Left Foot","Off T",97,46.1,118.5,40.7,23.795167576632,1.65529453572469,104.853864735632,115.0168934781,10.1630287424677,28.7683689519226,22.16776939613,0.37384899035512,6,9,3,1,197.867,0.908999999999992,"0",0.0268332027164337
"26","Japan","Junya Ito","Right Wing Back","Unai Simón Mendibil",1,7,12,0.430018,FALSE,"Regular Play","Normal","Right Foot","Off T",114,53.5,118.7,44.4,14.7732867026942,4.58802789878178,156.037511025422,163.53998518796,7.50247416253819,25.3477761396035,10.2420701032555,0,2,2,0,1,8.97399999999999,0.430000000000007,"0",0.285188474599829
"27","Spain","Álvaro Borja Morata Martín","Center Forward","Shūichi Gonda",1,8,52,0.595505,FALSE,"From Corner","Normal","Head","Saved",109.9,35.6,119.1,39.2,11.0168053445634,1.20415945787923,66.4599607304857,48.3664606634301,18.0935000670556,16.7150464068369,9.87927122818276,0.66666666666667,0,1,1,1,5.71199999999999,0.596000000000004,"0",0.0598154600586334
"28","Spain","Álvaro Borja Morata Martín","Center Forward","Shūichi Gonda",1,11,0,0.396547,TRUE,"Regular Play","Normal","Head","Goal",115.3,38.3,119.3,39.5,4.99799959983992,0.860232526704265,70.1148348861445,54.4623222080257,15.6525126781188,12.8807861757846,4.17612260356422,0,0,1,0,1,109.52,0.395999999999958,"1",0.279770916832962
"29","Spain","Álvaro Borja Morata Martín","Center Forward","Shūichi Gonda",1,22,34,0.485407,FALSE,"Regular Play","Normal","Right Foot","Saved",104.7,51.6,116.6,43,19.2002604149006,4.53431361950186,127.168310465839,131.423665625003,4.25535515916368,29.7928820257187,14.6823022717828,0,0,1,0,1,52.608,0,"0",0.0980174603166058
"30","Japan","Daichi Kamada","Left Wing","Unai Simón Mendibil",1,35,50,0.073478,FALSE,"Regular Play","Normal","Right Foot","Blocked",107,54.5,118.1,43,19.4743420941504,3.55105618091294,138.122130462116,147.652556500558,9.53042603844219,35.6195114954202,15.9831160916762,0.372161463782393,1,2,1,1,51.04,0.177999999999884,"0",0.0941713204520874
"31","Spain","Daniel Olmo Carvajal","Left Wing","Shūichi Gonda",1,41,54,0.089413,FALSE,"From Goal Kick","Normal","Right Foot","Blocked",102.8,35.2,117,38.9,17.8572114284398,3.19530906173409,74.4071890607337,69.8636965717518,4.54349248898185,10.6101271409137,14.6741268905513,0,1,4,0,1,120.584,61.6969999999997,"0",0.114879358089274
"32","Japan","Ritsu Doan","Right Wing","Unai Simón Mendibil",2,47,48,0.80211,FALSE,"Regular Play","Normal","Left Foot","Goal",100.5,55.8,118,42.1,25.0976094479136,2.9,129.016342416982,136.397181027296,7.3808386103145,29.63950782414,22.2247609660936,0.144187450182118,2,6,1,1,3.46500000000015,0.80199999999968,"1",0.0455659665994105
"33","Japan","Ao Tanaka","Right Defensive Midfield","Unai Simón Mendibil",2,50,14,0.352541,FALSE,"From Free Kick","Normal","Other","Goal",118.7,40.2,120,37.6,1.31529464379659,2.4,98.7461622625554,0,98.7461622625554,3.85812444757785,2.90688837074973,0,2,1,0,1,12.625,0.351999999999862,"1",0.388815893473851
